	Windspeed	STDeV	Leq_x	Leq_y
608	5.0	2.5	3317.3013636363635	4583.407393939393
607	5.0	2.25	3387.4333333333348	3964.5211999999997
606	5.0	2.0	3276.7	3508.6353636363633
609	5.1	2.0	3401.8636363636356	3635.7395454545454
610	5.1	2.25	3411.951666666667	3939.5249575757566
611	5.1	2.5	3365.172121212121	4546.418799999999
612	5.2	2.0	3380.8499999999995	3614.290145454545
613	5.2	2.25	3483.359090909091	4073.3634999999995
614	5.2	2.5	3478.2096969696972	4439.787872727273
615	5.3	2.0	3420.0454545454545	3659.734909090909
616	5.3	2.25	3479.8345454545456	4272.270166666666
617	5.3	2.5	3492.4810606060605	4367.178954545454
618	5.4	2.0	3495.3071212121217	3643.885957575758
619	5.4	2.25	3432.598484848484	4038.8589151515152
620	5.4	2.5	3576.8727272727274	4287.722045454545
621	5.5	2.0	3542.233333333333	3684.8130303030307
622	5.5	2.25	3632.6504545454545	4163.258196969696
623	5.5	2.5	3529.3709090909088	4228.554327272728
624	5.6	2.0	3665.5242424242415	3550.0226666666663
625	5.6	2.25	3631.081212121214	4300.0650000000005
626	5.6	2.5	3754.06909090909	4603.058357575757
629	5.7	2.5	3716.7954545454545	4866.375030303029
628	5.7	2.25	3769.599242424242	4329.223
627	5.7	2.0	3685.5272727272722	3960.0951999999993
630	5.8	2.0	3718.1768181818175	3838.484357575757
631	5.8	2.25	3820.727272727272	4413.643636363637
632	5.8	2.5	3918.8200000000006	4753.561939393939
633	5.9	2.0	3821.9236363636355	4100.348863636364
634	5.9	2.25	3752.7242424242413	4247.558999999999
635	5.9	2.5	3880.121212121212	4809.473454545454
636	6.0	2.0	3804.3727272727288	3940.7183560606063
637	6.0	2.25	4010.201363636363	4280.2594818181815
638	6.0	2.5	3926.891666666665	5092.988787878788
639	6.1	2.0	3914.7699999999995	4010.5019696969694
640	6.1	2.25	3901.005606060606	4326.711636363637
641	6.1	2.5	3919.7599999999993	5144.5474469696965
644	6.2	2.5	4128.2181818181825	4899.303749999999
642	6.2	2.0	3990.2298484848466	3917.849333333332
643	6.2	2.25	3994.9000000000005	4430.5196
645	6.3	2.0	4054.7866666666655	3924.8820818181803
646	6.3	2.25	4140.388636363636	4341.131272727273
647	6.3	2.5	4055.5699999999997	4692.837575757576
649	6.4	2.25	4153.343939393939	4153.170499999999
650	6.4	2.5	4174.632272727273	4724.336484848484
648	6.4	2.0	4209.411363636364	4096.017787878787
651	6.5	2.0	4181.315909090908	3994.1370727272724
652	6.5	2.25	4157.673333333333	4463.462075757575
653	6.5	2.5	4154.144696969697	4857.678
654	6.6	2.0	4272.67	4215.06193939394
655	6.6	2.25	4305.989999999999	4810.379166666666
656	6.6	2.5	4239.794848484849	4961.036719696969
657	6.7	2.0	4387.90909090909	4255.8955
658	6.7	2.25	4271.854545454545	4436.48606060606
659	6.7	2.5	4410.070909090909	4923.501749999999
660	6.8	2.0	4444.000757575758	4252.165454545455
661	6.8	2.25	4335.674242424241	4615.264090909091
662	6.8	2.5	4480.025454545456	5305.872318181818
665	6.9	2.5	4419.303030303029	4869.378090909091
664	6.9	2.25	4470.374999999999	4994.238090909089
663	6.9	2.0	4353.081212121211	4172.9041636363645
666	7.0	2.0	4425.530000000001	3953.6052121212124
667	7.0	2.25	4514.572727272727	4647.507518181817
668	7.0	2.5	4597.769696969696	5511.300136363636
669	7.1	2.0	4527.5422727272735	4219.229666666666
670	7.1	2.25	4573.858333333334	4416.4217575757575
671	7.1	2.5	4601.727272727273	4999.684181818181
672	7.2	2.0	4504.232727272727	4211.377990909092
673	7.2	2.25	4597.854545454545	4423.663409090909
674	7.2	2.5	4763.733333333333	5391.909712121213
675	7.3	2.0	4594.7380303030295	4181.621606060607
676	7.3	2.25	4680.568484848483	4901.61
677	7.3	2.5	4715.093939393939	5402.738727272728
678	7.4	2.0	4757.057727272728	4428.3295
679	7.4	2.25	4782.613333333334	4493.017333333333
680	7.4	2.5	4833.981818181818	5400.4766666666665
683	7.5	2.5	4768.62	5614.15306060606
682	7.5	2.25	4813.189393939393	4635.416469696969
681	7.5	2.0	4817.726363636363	4142.552181818181
686	7.6	2.5	4887.133939393941	5395.936
685	7.6	2.25	4785.088636363636	4700.427727272729
684	7.6	2.0	4811.295757575757	4437.623712121212
689	7.7	2.5	4993.294090909092	5241.009136363636
687	7.7	2.0	4835.518181818181	4141.22612121212
688	7.7	2.25	4924.079999999999	4659.924227272727
690	7.8	2.0	4993.780909090909	4413.3765
691	7.8	2.25	4918.842727272728	4694.936363636364
692	7.8	2.5	5034.867272727273	5395.645333333334
693	7.9	2.0	4943.994545454546	4298.113636363636
694	7.9	2.25	4984.901515151515	4967.063878787878
695	7.9	2.5	5049.800151515153	5494.967848484848
696	8.0	2.0	5067.163181818182	4623.527999999999
697	8.0	2.25	5104.220454545455	5084.522272727272
698	8.0	2.5	5076.615757575758	5498.45053030303
699	8.1	2.0	5113.85	4758.152424242424
700	8.1	2.25	5155.3213636363635	4872.946363636364
701	8.1	2.5	5172.884545454545	5512.956581818181
703	8.2	2.25	5111.512727272728	4858.501651515151
704	8.2	2.5	5191.295454545455	5737.0139212121185
702	8.2	2.0	5132.988181818183	4167.542045454545
705	8.3	2.0	5277.011363636366	4596.508106060606
706	8.3	2.25	5207.66590909091	5140.707862121212
707	8.3	2.5	5349.24090909091	5505.980472727274
708	8.4	2.0	5201.053181818182	4533.828121212121
709	8.4	2.25	5281.3966666666665	5209.548287878787
710	8.4	2.5	5403.824242424243	5714.793818181818
711	8.5	2.0	5309.3672727272715	4795.132727272727
712	8.5	2.25	5410.84303030303	5145.954015151515
713	8.5	2.5	5372.137121212119	5335.191515151515
714	8.6	2.0	5414.659090909092	4566.467733333334
715	8.6	2.25	5503.962727272729	5071.291196969695
716	8.6	2.5	5473.466818181818	5606.436363636364
718	8.7	2.25	5479.330909090909	5209.331045454545
717	8.7	2.0	5360.73106060606	4509.740681818182
719	8.7	2.5	5532.829545454544	5823.220363636364
720	8.8	2.0	5573.344242424241	4559.019454545455
722	8.8	2.5	5493.476666666666	5566.972363636364
721	8.8	2.25	5641.270303030305	5034.117090909091
723	8.9	2.0	5560.092121212121	4478.475272727273
724	8.9	2.25	5601.959999999999	5365.013787878788
725	8.9	2.5	5646.350606060607	5540.550272727271
726	9.0	2.0	5628.77818181818	4542.135227272727
727	9.0	2.25	5705.8209090909095	5523.143636363636
728	9.0	2.5	5772.1950000000015	5832.767045454545
729	9.1	2.0	5742.749999999999	4851.3381818181815
730	9.1	2.25	5811.2363636363625	5388.88896969697
731	9.1	2.5	5769.945454545454	5597.452954545455
732	9.2	2.0	5771.909090909091	4756.913545454545
733	9.2	2.25	5808.862121212121	5175.058121212121
734	9.2	2.5	5903.431363636362	5654.184666666666
737	9.3	2.5	5903.923484848485	5688.022030303029
735	9.3	2.0	5852.4395454545465	4527.191196969697
736	9.3	2.25	5791.799545454546	5208.98821212121
738	9.4	2.0	5906.051666666667	4968.325909090908
739	9.4	2.25	5932.2072727272725	5465.985166666666
740	9.4	2.5	5918.154545454544	5800.932878787879
741	9.5	2.0	5830.84409090909	4634.8879090909095
742	9.5	2.25	6090.018181818182	5356.118303030304
743	9.5	2.5	5972.594545454546	5601.316090909091
744	9.6	2.0	6006.225757575758	4613.271363636365
745	9.6	2.25	5883.899393939394	4922.759227272727
746	9.6	2.5	5954.420606060606	5710.757166666666
747	9.7	2.0	6028.565454545454	4889.414333333334
748	9.7	2.25	6080.600909090909	5286.596984848484
749	9.7	2.5	6173.307878787879	6047.6715545454545
750	9.8	2.0	6099.132727272727	4908.1863939393925
751	9.8	2.25	6203.869696969697	5218.620990909091
752	9.8	2.5	6225.508333333332	5373.721348484846
755	9.9	2.5	6108.80318181818	5825.9695454545445
753	9.9	2.0	6161.53712121212	4552.996484848484
754	9.9	2.25	6234.155303030303	5522.227090909089
0	10.0	2.0	6307.098181818182	4846.034454545455
2	10.0	2.5	6324.543939393938	5607.753666666666
1	10.0	2.25	6247.447272727272	5407.761424242422
4	10.1	2.25	6389.159090909091	5477.051136363636
5	10.1	2.5	6454.498484848484	5879.158636363635
3	10.1	2.0	6328.727272727273	4543.2181818181825
8	10.2	2.5	6531.280000000001	5943.9640909090895
6	10.2	2.0	6405.821212121215	4682.544848484848
7	10.2	2.25	6271.909090909089	5324.388136363635
10	10.3	2.25	6363.38393939394	5474.372909090909
9	10.3	2.0	6502.505454545455	4548.551515151514
11	10.3	2.5	6487.674545454545	6012.618181818181
12	10.4	2.0	6611.928484848485	4712.469681818181
13	10.4	2.25	6532.865454545456	5170.4325
14	10.4	2.5	6652.6622727272725	5881.850577272727
15	10.5	2.0	6609.3727272727265	4569.704393939394
16	10.5	2.25	6812.09696969697	5573.199903030302
17	10.5	2.5	6518.845757575758	6320.32006060606
18	10.6	2.0	6706.21090909091	4742.8978181818175
19	10.6	2.25	6763.264999999999	5525.362424242424
20	10.6	2.5	6745.966060606061	6362.522151515151
21	10.7	2.0	6894.279393939396	4993.023121212122
22	10.7	2.25	6871.861969696968	5234.534454545454
23	10.7	2.5	6859.2818181818175	5873.70606060606
26	10.8	2.5	6924.4918181818175	6105.903090909092
25	10.8	2.25	6740.412424242425	5611.784484848485
24	10.8	2.0	6999.6151515151505	5242.163151515151
28	10.9	2.25	6956.5199999999995	5595.410454545454
29	10.9	2.5	7106.590909090909	6384.735242424242
27	10.9	2.0	7040.065151515153	4906.100727272728
30	11.0	2.0	7109.005909090907	5032.708227272727
31	11.0	2.25	7008.271515151515	5807.88259090909
32	11.0	2.5	7057.0043939393945	6491.4
33	11.1	2.0	7140.533636363635	5032.503454545454
34	11.1	2.25	7113.565303030302	5755.598863636363
35	11.1	2.5	7153.006363636365	6166.560696969697
36	11.2	2.0	7076.932121212121	4662.419636363635
37	11.2	2.25	7121.9686363636365	5536.728181818182
38	11.2	2.5	7137.21212121212	6538.638
40	11.3	2.25	7274.109696969697	6040.800181818182
39	11.3	2.0	7162.348787878788	5277.241454545454
41	11.3	2.5	7170.335454545455	6759.818863636363
43	11.4	2.25	7247.163636363636	5934.952348484849
42	11.4	2.0	7135.540000000002	5575.572242424242
44	11.4	2.5	7226.067727272726	6301.950924242425
47	11.5	2.5	7242.213939393941	6251.157272727273
46	11.5	2.25	7230.04303030303	5906.563727272727
45	11.5	2.0	7178.603030303031	5569.28
48	11.6	2.0	7284.290151515151	5209.94196969697
49	11.6	2.25	7259.566666666666	5550.796803030303
50	11.6	2.5	7285.292575757577	6202.958075757575
51	11.7	2.0	7276.193181818182	5237.9316969696965
52	11.7	2.25	7206.57	5885.542909090909
53	11.7	2.5	7266.090909090908	6708.031878787878
54	11.8	2.0	7238.258181818181	5276.877272727272
55	11.8	2.25	7247.409090909091	6318.370151515152
56	11.8	2.5	7249.551060606062	6769.183999999999
59	11.9	2.5	7278.320303030302	6842.573333333333
58	11.9	2.25	7213.102424242424	5855.396666666666
57	11.9	2.0	7190.511363636364	5212.2
62	12.0	2.5	7182.389696969696	6493.029818181818
60	12.0	2.0	7225.1672727272735	5256.636666666667
61	12.0	2.25	7266.665454545455	5565.1521212121215
63	12.1	2.0	7251.769696969696	5466.063484848484
64	12.1	2.25	7180.170454545454	5982.958636363636
65	12.1	2.5	7091.843636363635	6832.0905303030295
66	12.2	2.0	7169.407272727272	5289.193363636363
67	12.2	2.25	7314.337272727272	6215.431818181818
68	12.2	2.5	7259.543636363636	6466.92515151515
69	12.3	2.0	7232.788484848485	5516.592727272727
70	12.3	2.25	7293.049242424243	6043.692696969697
71	12.3	2.5	7227.056060606061	6466.307030303031
72	12.4	2.0	7263.891818181818	5418.833333333333
73	12.4	2.25	7193.818181818182	5986.734545454545
74	12.4	2.5	7325.300606060607	6606.5069696969695
77	12.5	2.5	7227.2481818181805	6496.1125606060605
75	12.5	2.0	7216.21515151515	5449.628272727273
76	12.5	2.25	7244.415	6224.709040909091
80	12.6	2.5	7154.836363636363	6741.9
79	12.6	2.25	7198.928181818181	5902.160606060606
78	12.6	2.0	7278.126666666665	5650.6866666666665
83	12.7	2.5	7271.994545454546	6466.669575757577
81	12.7	2.0	7253.730909090908	5597.340909090908
82	12.7	2.25	7179.136363636365	5784.322666666667
84	12.8	2.0	7234.958636363636	5411.061818181818
85	12.8	2.25	7285.239545454546	6211.064999999999
86	12.8	2.5	7342.6315151515155	6500.040681818181
87	12.9	2.0	7180.020151515151	5381.518499999999
88	12.9	2.25	7321.171818181819	6172.1
89	12.9	2.5	7353.447727272726	6906.141666666667
90	13.0	2.0	7238.110909090909	5760.993939393939
91	13.0	2.25	7228.846969696968	6431.02236969697
92	13.0	2.5	7265.545757575756	6728.2493939393935
93	13.1	2.0	7149.321818181819	5377.011848484849
94	13.1	2.25	7247.503030303031	6026.618181818181
95	13.1	2.5	7304.092727272728	7105.876363636364
97	13.2	2.25	7223.1762121212105	5715.1423636363625
98	13.2	2.5	7214.072727272727	6908.774242424242
96	13.2	2.0	7227.468181818182	5249.653939393939
99	13.3	2.0	7225.191515151515	5472.458181818182
100	13.3	2.25	7282.959999999999	5975.67393939394
101	13.3	2.5	7314.054545454546	6197.170000000001
102	13.4	2.0	7315.9648484848485	5419.081818181819
103	13.4	2.25	7263.016515151515	6217.152636363635
104	13.4	2.5	7156.005454545453	7138.991393939394
105	13.5	2.0	7256.810909090908	5593.001212121211
106	13.5	2.25	7247.583636363637	6142.666727272728
107	13.5	2.5	7246.5036363636345	6770.488242424243
108	13.6	2.0	7215.361363636363	5352.638909090909
109	13.6	2.25	7277.106515151516	5971.608181818181
110	13.6	2.5	7292.229848484848	7084.3462272727265
112	13.7	2.25	7126.627272727272	6343.935075757575
111	13.7	2.0	7251.2072727272725	5601.6461969696975
113	13.7	2.5	7266.878181818182	6313.232727272727
114	13.8	2.0	7155.304999999999	5625.474242424241
116	13.8	2.5	7176.573636363636	6939.160575757575
115	13.8	2.25	7185.684848484847	6119.179863636363
117	13.9	2.0	7232.97	5768.9484848484835
118	13.9	2.25	7219.943030303029	6288.81343939394
119	13.9	2.5	7171.689999999999	6522.442727272727
120	14.0	2.0	7214.048181818181	5383.16909090909
121	14.0	2.25	7255.945454545455	6199.424636363637
122	14.0	2.5	7191.3028787878775	6379.374545454544
123	14.1	2.0	7327.695454545454	5553.563227272728
124	14.1	2.25	7233.3587878787885	6201.23696969697
125	14.1	2.5	7331.726363636364	6780.593454545455
126	14.2	2.0	7176.5166666666655	5562.453333333333
127	14.2	2.25	7197.187878787879	6349.004303030302
128	14.2	2.5	7267.553787878787	6976.138909090909
131	14.3	2.5	7347.751515151516	7178.162393939394
129	14.3	2.0	7178.199999999999	5524.892757575758
130	14.3	2.25	7184.290909090909	6262.629333333333
132	14.4	2.0	7170.381818181817	5506.171969696969
133	14.4	2.25	7259.500757575757	6403.646060606061
134	14.4	2.5	7314.509999999999	6910.6
135	14.5	2.0	7162.378181818182	5640.805595454544
136	14.5	2.25	7252.649545454546	5811.089454545454
137	14.5	2.5	7376.397272727272	7024.0545454545445
138	14.6	2.0	7246.255303030303	5539.852727272726
139	14.6	2.25	7120.295454545453	5954.529090909091
140	14.6	2.5	7056.185454545454	6900.506060606061
141	14.7	2.0	7161.216212121212	5522.087878787878
142	14.7	2.25	7332.098181818182	6063.294999999999
143	14.7	2.5	7244.459999999999	6624.781818181817
144	14.8	2.0	7116.256363636364	5479.959272727273
145	14.8	2.25	7204.704545454545	6345.92303030303
146	14.8	2.5	7273.412424242423	6519.832424242424
148	14.9	2.25	7155.132575757575	6253.9749999999985
149	14.9	2.5	7299.155	6834.452727272727
147	14.9	2.0	7137.870454545454	5687.420909090909
150	15.0	2.0	7191.233939393939	5929.321666666666
151	15.0	2.25	7228.584545454547	6500.705303030302
152	15.0	2.5	7363.756363636365	6870.458939393939
153	15.1	2.0	7262.852727272727	5439.079545454545
154	15.1	2.25	7138.91484848485	6100.902272727272
155	15.1	2.5	7209.271515151516	6965.745454545455
156	15.2	2.0	7148.9290909090905	5245.561363636363
157	15.2	2.25	7246.124999999999	6262.835757575757
158	15.2	2.5	7175.263636363637	7007.024242424242
159	15.3	2.0	7198.444545454546	5715.696363636363
160	15.3	2.25	7357.831363636363	6346.174242424242
161	15.3	2.5	7350.299999999999	6827.183333333333
164	15.4	2.5	7345.786212121213	7238.441515151515
162	15.4	2.0	7201.2792424242425	5743.224999999999
163	15.4	2.25	7190.1668181818195	6579.282272727272
167	15.5	2.5	7229.917575757576	7007.596363636364
166	15.5	2.25	7127.66909090909	6493.229545454545
165	15.5	2.0	7233.1646969696985	5672.766666666666
168	15.6	2.0	7166.321666666667	5503.951378787879
169	15.6	2.25	7322.467727272728	6370.377272727273
170	15.6	2.5	7276.246666666664	6592.275606060606
171	15.7	2.0	7281.133333333332	5260.521818181817
172	15.7	2.25	7263.829545454544	6025.302272727273
173	15.7	2.5	7296.004090909091	7074.298636363635
176	15.8	2.5	7224.250909090909	6490.740454545455
174	15.8	2.0	7207.82787878788	5434.146666666666
175	15.8	2.25	7356.504696969698	6088.61696969697
179	15.9	2.5	7092.023636363637	7195.45090909091
178	15.9	2.25	7255.770757575757	6342.4939393939385
177	15.9	2.0	7127.3436363636365	5514.3696969696975
181	16.0	2.25	7182.513636363636	6139.343333333334
180	16.0	2.0	7168.938636363636	5758.701666666665
182	16.0	2.5	7249.92	7245.890909090907
185	16.1	2.5	7211.359545454545	6855.508333333333
184	16.1	2.25	7206.839696969697	6685.986818181817
183	16.1	2.0	7272.245	5564.155454545453
186	16.2	2.0	7186.540909090908	6183.4766666666665
187	16.2	2.25	7073.826666666666	6480.4496969696975
188	16.2	2.5	7202.118181818181	6962.495757575757
189	16.3	2.0	7196.509090909091	5697.07803030303
190	16.3	2.25	7153.069393939395	6045.017272727272
191	16.3	2.5	7323.113636363635	6726.137318181817
194	16.4	2.5	7219.919999999999	7085.80606060606
193	16.4	2.25	7183.479696969696	6319.35
192	16.4	2.0	7210.960757575757	5367.837878787878
195	16.5	2.0	7339.1563636363635	5625.381818181819
196	16.5	2.25	7209.433636363636	6410.940151515151
197	16.5	2.5	7230.218181818181	7375.704242424242
198	16.6	2.0	7252.123484848485	5744.115151515152
199	16.6	2.25	7097.6016666666665	6269.839999999999
200	16.6	2.5	7074.375757575757	7389.972727272727
201	16.7	2.0	7129.945757575757	6029.107272727273
203	16.7	2.5	7131.089999999999	7297.442727272727
202	16.7	2.25	7138.341666666666	6681.676363636362
206	16.8	2.5	7147.347727272728	6867.6412121212115
205	16.8	2.25	7191.289090909091	6634.737878787878
204	16.8	2.0	7153.418787878789	5369.223333333333
207	16.9	2.0	6987.99909090909	5803.831515151515
208	16.9	2.25	7222.994242424242	6314.31818181818
209	16.9	2.5	7281.179696969696	6924.1584848484845
210	17.0	2.0	7143.863636363635	5986.5886363636355
211	17.0	2.25	7101.8099999999995	6585.345454545453
212	17.0	2.5	7177.008484848485	7351.966515151515
213	17.1	2.0	7263.613636363635	5506.114545454546
214	17.1	2.25	7088.619999999999	6371.654545454545
215	17.1	2.5	7133.354545454546	7061.911363636364
217	17.2	2.25	7193.507878787878	6257.301515151514
216	17.2	2.0	7208.927272727273	5488.2439393939385
218	17.2	2.5	7073.138333333332	6950.683636363637
220	17.3	2.25	7219.835909090909	5998.356969696969
221	17.3	2.5	7230.829090909091	7277.00106060606
219	17.3	2.0	7140.668181818181	5962.327878787879
223	17.4	2.25	7252.022272727273	6373.779545454546
222	17.4	2.0	7076.4830303030285	5601.759999999999
224	17.4	2.5	7096.639696969697	7241.194545454545
226	17.5	2.25	6986.488636363637	6370.682727272728
227	17.5	2.5	7242.850909090907	6866.590909090909
225	17.5	2.0	7251.844090909092	5687.488636363635
228	17.6	2.0	7052.27196969697	5428.271818181818
229	17.6	2.25	7371.381818181819	6453.6369696969705
230	17.6	2.5	7208.3033333333315	6864.945454545455
233	17.7	2.5	7411.2	6953.15909090909
232	17.7	2.25	7288.638181818182	6252.166666666666
231	17.7	2.0	7069.459090909091	5664.241212121211
234	17.8	2.0	7181.575757575757	5688.644090909092
235	17.8	2.25	7487.861212121211	6246.943181818182
236	17.8	2.5	7229.965	7085.548636363636
237	17.9	2.0	7123.80696969697	5722.049999999999
238	17.9	2.25	7157.999545454545	6452.247272727272
239	17.9	2.5	7368.914545454545	7307.061818181818
242	18.0	2.5	7114.521515151515	6854.660181818182
241	18.0	2.25	7286.188636363636	6381.076363636364
240	18.0	2.0	7186.100606060606	5741.819090909092
243	18.1	2.0	7039.69	6052.8
244	18.1	2.25	7237.35909090909	6130.492727272726
245	18.1	2.5	7226.521818181817	6801.568484848483
246	18.2	2.0	7197.294242424242	5447.460606060605
247	18.2	2.25	7099.637878787878	6455.9939393939385
248	18.2	2.5	7191.852727272726	7053.02106060606
251	18.3	2.5	7122.359090909091	7593.381818181818
249	18.3	2.0	7035.21818181818	5553.763636363636
250	18.3	2.25	7270.91393939394	5915.425
252	18.4	2.0	7051.86	5786.103030303031
253	18.4	2.25	7216.403333333333	6311.851515151515
254	18.4	2.5	7148.249999999999	6823.345454545454
255	18.5	2.0	7037.265454545454	5657.2136363636355
256	18.5	2.25	7048.733333333334	6759.442878787879
257	18.5	2.5	7017.141666666665	7102.214848484848
258	18.6	2.0	7010.41909090909	6156.397272727273
259	18.6	2.25	7386.7009090909105	6271.350909090909
260	18.6	2.5	7177.604848484848	7062.136363636364
262	18.7	2.25	7244.048787878788	6662.750303030303
261	18.7	2.0	7062.987272727273	6000.785454545455
263	18.7	2.5	7380.211363636363	6981.283333333332
264	18.8	2.0	7106.704848484848	5692.913333333332
265	18.8	2.25	7185.425454545454	6484.460454545453
266	18.8	2.5	7390.027272727271	7093.272878787879
267	18.9	2.0	7175.805	5808.192727272726
268	18.9	2.25	7311.833333333333	6467.2804545454555
