	Windspeed	STDeV	Leq_x	Leq_y	Leq_res
0	15.0	1.0	49552.10626336747	62778.76327271357	59752.633147201166
5	15.0	2.25	51207.6126682592	56738.665852276594	56292.541754695434
4	15.0	2.0	50796.01602564759	61116.88193752674	60309.22594184639
3	15.0	1.75	50810.915693094496	60411.149155954896	56764.67966399734
6	15.0	2.5	51844.73709940467	67915.45910225363	63137.89058484671
2	15.0	1.5	49804.105364368326	74837.17984773625	65213.707144894535
1	15.0	1.25	49321.16352274832	81227.1032047222	72437.83960845422
9	15.1	1.5	49309.18192221968	74461.73422235702	60219.42435844878
10	15.1	1.75	49850.40728142369	71309.77809533535	64814.563996566045
12	15.1	2.25	49987.04903173944	67827.33237225043	62821.20145996417
8	15.1	1.25	49966.73771014169	81375.88356399069	66009.24685000037
13	15.1	2.5	52383.287591466156	63757.833011213086	58666.7142890889
11	15.1	2.0	50778.5957092838	95717.2077170658	73898.05945589583
7	15.1	1.0	49752.72085378481	77244.17542914131	64209.52536812634
14	15.2	1.0	49547.18207816706	82155.10681369164	66592.39465824314
20	15.2	2.5	50703.676903781765	81090.2474367999	70488.12325614397
19	15.2	2.25	50628.277027676784	64094.99462613188	65457.524815076315
16	15.2	1.5	50594.7266099122	69104.00098395043	65373.0074571862
17	15.2	1.75	49928.14218159317	70594.23871741454	63450.58029445541
18	15.2	2.0	51254.592155619874	97146.65830249991	73490.17410648175
15	15.2	1.25	49306.21531282479	67277.83395479315	61388.36572695367
22	15.3	1.25	49250.99926415593	67790.46036636857	58482.052781702114
23	15.3	1.5	49512.52450391997	77957.15435489881	68939.16732384851
24	15.3	1.75	49757.98973160137	63031.30167552746	60480.989778661446
21	15.3	1.0	49544.52824954374	87815.39182071594	70158.95903699154
25	15.3	2.0	50732.23255149954	65431.916287527776	63415.2516587466
27	15.3	2.5	51277.46069226095	61215.911048952585	56784.31065489323
26	15.3	2.25	51486.774411272796	82125.94058330152	64226.67177817982
31	15.4	1.75	50928.0312244022	83800.3037656008	67199.16906182592
32	15.4	2.0	51072.71980110345	78694.95811036424	70558.38366261242
33	15.4	2.25	51014.47384046019	67018.56730051525	65399.00921878648
34	15.4	2.5	51436.91096475295	90825.67713034431	74443.00518482829
28	15.4	1.0	49243.869484788745	69863.55845405904	63175.83718514946
30	15.4	1.5	49778.72804012657	65062.278859999766	61509.16481784303
29	15.4	1.25	50808.601946044626	82237.72182913346	65142.8722804432
41	15.5	2.5	52548.84479851702	60734.14714597491	61441.93321637217
40	15.5	2.25	51730.699457716924	88997.5002573822	69424.32751347245
39	15.5	2.0	49953.88111745318	65780.82004696097	56602.531470916925
38	15.5	1.75	49889.36474507733	72635.46425011415	66936.2292433167
36	15.5	1.25	49512.844170453456	71865.80826701182	65705.14229914328
35	15.5	1.0	49708.288379348574	79538.9214961952	67888.20905935882
37	15.5	1.5	49956.661236407024	81204.36639200279	61676.62462196846
44	15.6	1.5	50281.33938807289	72678.99877843125	58936.91984553034
43	15.6	1.25	49465.1379954504	77256.71520620388	66945.97562335132
46	15.6	2.0	51196.44169587822	92230.74240653646	70159.62006312808
47	15.6	2.25	51532.16179681204	80827.43531762551	67790.06467051848
45	15.6	1.75	49948.037200068735	79908.93564212725	61714.402704457396
42	15.6	1.0	48964.72697084651	65611.44455590111	60120.34096248594
48	15.6	2.5	53421.477407720915	94291.03027615389	81756.21055877543
49	15.7	1.0	49594.67862851236	74228.36891424377	63316.92788290625
50	15.7	1.25	49446.063355436025	61571.06936575746	60627.66695995283
51	15.7	1.5	49880.15083809025	53663.61359206934	53804.76176514419
52	15.7	1.75	50884.683257160126	95185.70422276047	75223.62507161085
53	15.7	2.0	50807.06616848209	75770.37167260764	62990.213253592854
54	15.7	2.25	53515.58473348904	89686.8974339071	70291.7957144452
55	15.7	2.5	52123.45351000141	70761.758339419	61696.89940061764
56	15.8	1.0	49345.69926647485	76049.29187180602	66369.70366942423
57	15.8	1.25	49597.407439379036	68898.46084691708	61069.266513921364
58	15.8	1.5	49475.92634706059	69232.17050692477	62900.32809938854
59	15.8	1.75	52441.72464738572	89463.3920174733	70113.93963627447
60	15.8	2.0	50371.071152020806	84083.26515849293	66129.47745255075
61	15.8	2.25	50111.046715915756	87049.13184633417	67746.25648814312
62	15.8	2.5	52872.99894599725	68958.63702057625	59141.840363013995
63	15.9	1.0	48841.663360569015	70093.38483337116	64014.92936676325
64	15.9	1.25	49862.522260903716	69105.83939285454	63132.69861638348
65	15.9	1.5	49278.27688869325	80782.63311123312	70390.74007250501
66	15.9	1.75	51896.12762869287	91016.25992754086	77975.07297457784
67	15.9	2.0	51160.11386067418	69263.22155702725	64904.964336400335
68	15.9	2.25	50866.39849412959	76732.90688351037	68952.70389555907
69	15.9	2.5	50784.57277956327	85834.04688585736	69242.38816871081
70	16.0	1.0	48716.87343461696	65081.151100360046	62840.91785953278
71	16.0	1.25	49393.888240319335	80345.42014094426	67389.36996753902
72	16.0	1.5	51463.8338130661	85290.87147894045	67118.81874041622
73	16.0	1.75	50481.527813080895	82390.69906619945	70820.38405488932
74	16.0	2.0	51880.51403846483	90299.58924404546	64892.54589823292
75	16.0	2.25	51492.881574743	85035.09962881799	69857.11714355882
76	16.0	2.5	51617.20624340753	61586.541514583885	57833.11968157154
77	16.1	1.0	49525.585488498546	72190.19237979526	62579.13568679141
78	16.1	1.25	50876.56251933283	93563.32564354394	76379.99131463448
79	16.1	1.5	50133.66338688693	51628.07630866023	53043.428796701824
80	16.1	1.75	50328.40811084551	67390.4120873867	51674.23122607602
81	16.1	2.0	52686.22962880277	99430.34546466051	76528.34751804071
82	16.1	2.25	51812.41915003631	78981.47678675634	63157.03191041393
83	16.1	2.5	51439.296324601964	93499.17058608035	74621.39923379659
84	16.2	1.0	49274.12199123578	79592.64787757564	67453.38851024283
85	16.2	1.25	49732.36250373629	61266.970853355895	58854.825906481994
86	16.2	1.5	49874.61728719067	81031.47320800199	65230.40310680988
