	Windspeed	STDeV	Leq_x	Leq_y	Leq_res
0	15.0	1.0	48914.7396551925	71196.90201640273	63140.20076199549
1	15.0	1.25	49115.90303840269	71137.18172613847	62970.02028284124
5	15.0	2.25	53314.616708180074	88272.03284413193	76222.27130470694
3	15.0	1.75	49532.41553423565	71497.31427352378	62439.62913954319
6	15.0	2.5	52994.81849871782	91308.49496829278	77332.77875557652
2	15.0	1.5	50142.01238845941	67187.31485334592	59968.92468354306
4	15.0	2.0	50237.79602469979	61504.32281189183	61778.74407165239
7	15.1	1.0	49035.915775195135	79877.25404333565	65021.54358008544
8	15.1	1.25	49312.56525294905	81982.65141722454	65333.92314404705
9	15.1	1.5	50187.175901560855	76108.99728968529	66902.84919639995
10	15.1	1.75	50105.30224031207	86217.89180894058	66047.68796100814
11	15.1	2.0	51107.049656975105	76332.77393517627	68038.43991557624
12	15.1	2.25	50600.81385167422	84431.17441038409	59069.26158192807
13	15.1	2.5	51702.53246794134	79765.78307734191	69766.11557845953
18	15.2	2.0	50944.80579029194	72431.16701039198	56800.897871905225
19	15.2	2.25	51017.03090853085	70150.5786731462	60723.66309921457
16	15.2	1.5	50460.5997270041	86564.99741308	67613.96073059463
17	15.2	1.75	50360.076853051854	88631.62306542323	75427.70929066867
14	15.2	1.0	49299.773743920516	81437.59526935923	68716.51749506392
15	15.2	1.25	49560.92139402423	83895.63619019224	70851.19491038611
20	15.2	2.5	52354.272172653305	66703.83401206617	62822.77772678899
24	15.3	1.75	50262.30956301938	72110.28151237602	66507.78477606193
23	15.3	1.5	50288.56562545213	66492.76947437767	61808.53153659971
27	15.3	2.5	51733.54151115971	72609.91700055689	72823.28163561551
22	15.3	1.25	49533.60672753338	72309.43980360091	66315.19469659145
21	15.3	1.0	49243.985206122605	72526.96942377475	66022.17869174478
26	15.3	2.25	50516.65039509441	71664.46395507606	64325.7445269328
25	15.3	2.0	50575.51883248164	84914.71254665805	67100.35287622792
31	15.4	1.75	50445.26359821374	78759.05077469487	64640.99249600373
30	15.4	1.5	49915.56971544318	69798.37920834344	66163.08892985588
34	15.4	2.5	51069.3531133176	67580.13521558515	63787.98788431977
32	15.4	2.0	50236.532744588745	73739.90866532123	66592.833912084
28	15.4	1.0	49221.085714251145	75028.32282680708	62638.8109037976
33	15.4	2.25	51288.72447695439	63745.138813358804	66098.05941656392
29	15.4	1.25	49602.09514816626	76459.82605080007	62305.9043835267
39	15.5	2.0	51905.925797142496	87951.64003766439	72444.08372368076
40	15.5	2.25	56490.40904832388	94443.12455213825	72403.8803946616
41	15.5	2.5	51977.05391299203	80301.1316807765	69765.62737737934
37	15.5	1.5	49763.61509552785	55510.257369279134	58888.54097893512
38	15.5	1.75	50622.80932394946	79747.55798082023	60452.06181823573
35	15.5	1.0	49389.918484573514	77046.95889810787	61764.32154745635
36	15.5	1.25	49790.05515900686	78028.57888330828	61394.28882979368
46	15.6	2.0	50579.76188204634	90287.8170826128	60158.50620253073
47	15.6	2.25	51662.32873185546	75744.25589743364	61435.68817014445
44	15.6	1.5	49355.297626986496	65119.807388230016	58199.65350947917
43	15.6	1.25	49208.34225084465	48253.89507541561	53220.585284759916
42	15.6	1.0	48921.770757608974	52016.375610253075	54165.1261682299
45	15.6	1.75	50364.27228135218	47721.478893651125	49085.31912524638
48	15.6	2.5	51711.37169170105	72715.4214605206	62200.38553995843
53	15.7	2.0	51091.08380176336	68594.67751120045	61964.614292329636
52	15.7	1.75	50729.866594047424	80794.90382462535	65068.07546584903
51	15.7	1.5	49800.99468625845	89012.73523949076	71778.19681512487
54	15.7	2.25	51293.7278367194	70421.2817822336	62390.49057476806
