	Windspeed	STDeV	Leq_x	Leq_y	Leq_res
0	20.2	2.5	56332.99325331012	96394.39406012364	65169.81743027902
1	20.3	2.5	60213.58702595678	118097.73178486768	82400.91680865464
2	20.4	2.5	54515.15666445707	123763.17290521621	77655.22257955818
3	20.5	2.5	55149.316537104896	122768.7429567999	77648.65593870779
4	20.6	2.5	54057.13751412161	102059.28287593201	74449.82038856624
5	20.7	2.5	61843.79101980535	130694.84314266637	88103.67427309367
6	20.8	2.5	54051.60170686049	84325.97538023602	66597.38869274827
7	20.9	2.5	57562.76895241134	104377.3203838993	79992.4372363231
8	21.0	2.5	64616.03559088885	111925.70372317673	82568.1102760731
9	21.1	2.5	58623.1299224184	86572.7325427089	66265.18637379403
10	21.2	2.5	55433.65258803326	109022.59250200019	67185.30915004203
11	21.3	2.5	55719.849496679184	94767.9731214794	67272.59322262889
12	21.4	2.5	55704.32310093267	102029.05759527045	76509.64373395206
13	21.5	2.5	57804.54299960075	134561.50757082715	86473.02475406387
14	21.6	2.5	56539.95320601209	108098.55649316461	66740.85813541219
15	21.7	2.5	56174.932560533714	98277.5658415453	76282.06102543334
16	21.8	2.5	54703.115935515	91215.92856310178	66271.70720761127
17	21.9	2.5	55406.633466029634	104143.62948969983	72067.12425234623
18	22.0	2.5	61576.61700747321	132059.17431696414	87444.83325377281
19	22.1	2.5	58849.28599520735	124982.69896896734	75916.48984925929
20	22.2	2.5	54887.80082655482	110528.57582032042	72707.78966771999
21	22.3	2.5	54002.16510509987	126069.59176285849	78700.63114614274
22	22.4	2.5	54772.56829226267	118993.3681998113	69694.4352779241
23	22.5	2.5	57757.80963534624	107580.76601466573	74537.64586976593
24	22.6	2.5	56440.21504124495	132774.58576999424	83624.77039690931
25	22.7	2.5	72838.67471243674	133113.15193537128	90961.14691010397
26	22.8	2.5	56162.77542706325	117323.54168239544	75035.80885913457
27	22.9	2.5	53619.23067547622	82130.96101769136	58187.12761722198
28	23.0	2.5	56081.531745323984	95921.57805711319	69907.33865422913
29	23.1	2.5	56218.72700840021	130013.21261531867	88541.36493139903
30	23.2	2.5	56490.80807281413	114319.40714647171	74885.62736203296
31	23.3	2.5	56713.262129879404	107178.84162386495	72540.31408789044
32	23.4	2.5	56079.76589502794	120156.25008785166	74275.78319414587
33	23.5	2.5	55494.26304621359	106266.56446681826	76521.99904953605
34	23.6	2.5	67648.34287764772	129694.99879783091	81970.41453122468
35	23.7	2.5	55329.468485082194	120020.11800054429	78394.34706982467
36	23.8	2.5	59801.58186702118	122477.26238506477	80923.93269004358
37	23.9	2.5	56992.43609576607	129339.87034893241	77432.60644122782
38	24.0	2.5	55379.632711780796	112197.26539694247	74490.31848718095
39	24.1	2.5	57627.3047176313	118385.43134985428	82454.8940588979
40	24.2	2.5	58041.721998030764	119646.38835271973	80866.62682234313
41	24.3	2.5	61087.431414973544	127096.31478982688	79475.37011488428
42	24.4	2.5	57828.81547278254	123915.15791808804	74906.55041537018
43	24.5	2.5	58456.42111280307	137010.48762496962	82688.129786615
44	24.6	2.5	57237.43374576635	133783.47525176973	80226.32133176972
45	24.7	2.5	55375.12372866531	123531.71045386602	82645.51364280672
46	24.8	2.5	57658.94081465817	106509.34148808153	71694.01756120028
47	24.9	2.5	57043.984632358595	120401.01797611137	76767.91342053315
48	25.0	2.5	56831.117257927246	110001.3862647223	83245.35485205306
