! OpenFAST Deterministic Wind File
#
# Comment lines begin with "!" or "#" or "%", then the data lines must contain the following columns:
#
# If there are only 8 columns, upflow is assumed to be 0.
#
# Parameters are interpolated linearly between time steps; using nearest neighbor before the first time 
# listed in this file and after the last time listed in the file. 
#
! Time     Wind    Wind    Vertical    Horiz.      Pwr.Law     Lin.Vert.   Gust     Upflow
!          Speed   Dir     Speed       Shear       Vert.Shr    Shear       Speed    Angle 
! (sec)    (m/s)   (Deg)   (m/s)                                            (m/s)   (deg)
0    5.636261472232233    0    0    0    0    0    0    0    
1    5.186317128470396    0    0    0    0    0    0    0    
2    5.451081481056752    0    0    0    0    0    0    0    
3    5.577066813354925    0    0    0    0    0    0    0    
4    5.469308104796171    0    0    0    0    0    0    0    
5    5.7476273514075595    0    0    0    0    0    0    0    
6    5.077414724967974    0    0    0    0    0    0    0    
7    5.343429272280827    0    0    0    0    0    0    0    
8    4.760739947801616    0    0    0    0    0    0    0    
9    5.620372646801381    0    0    0    0    0    0    0    
10    5.026600297585298    0    0    0    0    0    0    0    
11    5.548362122218931    0    0    0    0    0    0    0    
12    5.052971492330522    0    0    0    0    0    0    0    
13    5.166686571893312    0    0    0    0    0    0    0    
14    5.335514319286622    0    0    0    0    0    0    0    
15    5.501169352137916    0    0    0    0    0    0    0    
16    5.668020082997146    0    0    0    0    0    0    0    
17    5.42097113551547    0    0    0    0    0    0    0    
18    5.741338990384483    0    0    0    0    0    0    0    
19    5.439759523726318    0    0    0    0    0    0    0    
20    5.179460430851508    0    0    0    0    0    0    0    
21    5.76129495237108    0    0    0    0    0    0    0    
22    5.30321753653393    0    0    0    0    0    0    0    
23    5.094670150592914    0    0    0    0    0    0    0    
24    5.727200443963458    0    0    0    0    0    0    0    
25    5.232675394170383    0    0    0    0    0    0    0    
26    5.241425727560572    0    0    0    0    0    0    0    
27    5.295539941931168    0    0    0    0    0    0    0    
28    5.374923387468716    0    0    0    0    0    0    0    
29    5.41748360811082    0    0    0    0    0    0    0    
30    5.46868054109057    0    0    0    0    0    0    0    
31    5.281789011464044    0    0    0    0    0    0    0    
32    5.403913305940705    0    0    0    0    0    0    0    
33    5.233294468710565    0    0    0    0    0    0    0    
34    5.605327334209318    0    0    0    0    0    0    0    
35    5.482443118989234    0    0    0    0    0    0    0    
36    5.568815167255464    0    0    0    0    0    0    0    
37    6.0662523430785855    0    0    0    0    0    0    0    
38    5.750148146505966    0    0    0    0    0    0    0    
39    5.4518216077205555    0    0    0    0    0    0    0    
40    5.666496116884275    0    0    0    0    0    0    0    
41    5.272379057279574    0    0    0    0    0    0    0    
42    5.94130376347891    0    0    0    0    0    0    0    
43    5.82253596968642    0    0    0    0    0    0    0    
44    5.246504939004639    0    0    0    0    0    0    0    
45    5.382856117678165    0    0    0    0    0    0    0    
46    5.3428151628388045    0    0    0    0    0    0    0    
47    5.221500553722851    0    0    0    0    0    0    0    
48    5.318505573362074    0    0    0    0    0    0    0    
49    5.205387793689098    0    0    0    0    0    0    0    
50    5.215154499350941    0    0    0    0    0    0    0    
51    5.131902769230341    0    0    0    0    0    0    0    
52    5.260433690838468    0    0    0    0    0    0    0    
53    5.64506378964158    0    0    0    0    0    0    0    
54    5.26742855640714    0    0    0    0    0    0    0    
55    5.305592830915435    0    0    0    0    0    0    0    
56    5.783865944838862    0    0    0    0    0    0    0    
57    5.432768302668435    0    0    0    0    0    0    0    
58    5.095130724135175    0    0    0    0    0    0    0    
59    5.338346372053747    0    0    0    0    0    0    0    
60    5.236749844158182    0    0    0    0    0    0    0    
61    5.564512601096858    0    0    0    0    0    0    0    
62    5.408311126541015    0    0    0    0    0    0    0    
63    5.817785523609446    0    0    0    0    0    0    0    
64    5.7452970596779585    0    0    0    0    0    0    0    
65    4.816451500873445    0    0    0    0    0    0    0    
66    5.040802699390916    0    0    0    0    0    0    0    
67    5.132226099492675    0    0    0    0    0    0    0    
68    5.158804504312437    0    0    0    0    0    0    0    
69    5.857873859333801    0    0    0    0    0    0    0    
70    5.376104884310997    0    0    0    0    0    0    0    
71    5.57139706164027    0    0    0    0    0    0    0    
72    5.173157526008941    0    0    0    0    0    0    0    
73    5.516381242456294    0    0    0    0    0    0    0    
74    5.761162966016137    0    0    0    0    0    0    0    
75    5.73230067602636    0    0    0    0    0    0    0    
76    5.01961288432103    0    0    0    0    0    0    0    
77    5.693042809665098    0    0    0    0    0    0    0    
78    5.507787494726475    0    0    0    0    0    0    0    
79    5.218129547880791    0    0    0    0    0    0    0    
80    5.516222882431852    0    0    0    0    0    0    0    
81    5.403456576548849    0    0    0    0    0    0    0    
82    5.8961021943262555    0    0    0    0    0    0    0    
83    5.443937210713135    0    0    0    0    0    0    0    
84    5.049092605017648    0    0    0    0    0    0    0    
85    5.497438028323905    0    0    0    0    0    0    0    
86    5.617373651423466    0    0    0    0    0    0    0    
87    5.211107617300319    0    0    0    0    0    0    0    
88    5.999083461703434    0    0    0    0    0    0    0    
89    5.678735695800262    0    0    0    0    0    0    0    
90    5.72995634556172    0    0    0    0    0    0    0    
91    5.189853187982498    0    0    0    0    0    0    0    
92    5.429329050734437    0    0    0    0    0    0    0    
93    5.485948715170732    0    0    0    0    0    0    0    
94    5.824376138366437    0    0    0    0    0    0    0    
95    5.261318389863197    0    0    0    0    0    0    0    
96    5.623292557845422    0    0    0    0    0    0    0    
97    5.686395744272337    0    0    0    0    0    0    0    
98    5.11809307088305    0    0    0    0    0    0    0    
99    5.630005931765729    0    0    0    0    0    0    0    
100    5.4420663907725695    0    0    0    0    0    0    0    
101    5.247369920992103    0    0    0    0    0    0    0    
102    5.382884839959077    0    0    0    0    0    0    0    
103    5.344501648419881    0    0    0    0    0    0    0    
104    5.387137119991609    0    0    0    0    0    0    0    
105    5.456509032328515    0    0    0    0    0    0    0    
106    5.661294472428316    0    0    0    0    0    0    0    
107    5.458451850234573    0    0    0    0    0    0    0    
108    5.601057733699849    0    0    0    0    0    0    0    
109    5.632411081768142    0    0    0    0    0    0    0    
110    4.965376178387921    0    0    0    0    0    0    0    
111    5.279766086128035    0    0    0    0    0    0    0    
112    5.336879652508087    0    0    0    0    0    0    0    
113    5.405859422189499    0    0    0    0    0    0    0    
114    5.387737734260038    0    0    0    0    0    0    0    
115    5.046979005475427    0    0    0    0    0    0    0    
116    5.237446251615601    0    0    0    0    0    0    0    
117    5.483949516416802    0    0    0    0    0    0    0    
118    5.354169694969302    0    0    0    0    0    0    0    
119    5.374228941273387    0    0    0    0    0    0    0    
120    5.267475742295119    0    0    0    0    0    0    0    
121    4.991403571302905    0    0    0    0    0    0    0    
122    5.4901057623208285    0    0    0    0    0    0    0    
123    5.464524749032093    0    0    0    0    0    0    0    
124    5.597025475258249    0    0    0    0    0    0    0    
125    5.928716631880458    0    0    0    0    0    0    0    
126    5.509811204867472    0    0    0    0    0    0    0    
127    5.077378141508258    0    0    0    0    0    0    0    
128    5.249033445874542    0    0    0    0    0    0    0    
129    5.328435043510272    0    0    0    0    0    0    0    
