
Predictions were generated on 05-Dec-2024 at 12:08:04 using OpenFAST, compiled as a 64-bit application using single precision at commit v3.2.1
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: OpenFast Main File Tutorial 1

Time	Wind1VelX	Wind1VelY	Wind1VelZ	Azimuth	RotSpeed	GenSpeed	OoPDefl1	IPDefl1	TwstDefl1	BldPitch1	TTDspFA	TTDspSS	TTDspTwst	PtfmSurge	PtfmSway	PtfmHeave	PtfmRoll	PtfmPitch	PtfmYaw	RotTorq	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt	RootMxb1	RootMyb1	GenPwr	GenTq
(s)	(m/s)	(m/s)	(m/s)	(deg)	(rpm)	(rpm)	(m)	(m)	(deg)	(deg)	(m)	(m)	(deg)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kW)	(kN-m)
    0.0000	  5.0444870E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  1.1896771E-04	 -1.7842075E+01	  5.6396395E-02	 -6.0896377E+03	 -1.3643084E+00	 -4.0932224E+02	  1.9810706E-05	  4.4895139E+00	  6.1744541E+01	  0.0000000E+00	  0.0000000E+00
    0.1000	  5.0331860E+00	  0.0000000E+00	  0.0000000E+00	  3.8249057E-04	  9.5033005E-04	  4.2128310E-02	  8.9479871E-03	  9.3747012E-04	  0.0000000E+00	  0.0000000E+00	 -1.6586723E-04	  7.0404576E-07	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  5.2745862E+00	  2.4263048E+01	 -2.9800600E-01	 -6.1147832E+03	  9.1344938E+00	  8.0684686E+02	 -1.0519593E+02	 -1.3047631E+00	  1.5612633E+02	  0.0000000E+00	  0.0000000E+00
    0.2000	  5.0218849E+00	  0.0000000E+00	  0.0000000E+00	  3.0052831E-04	 -8.6124561E-04	  7.7412210E-02	  3.7146010E-02	 -7.9501059E-04	  0.0000000E+00	  0.0000000E+00	 -6.3479872E-04	  4.4386429E-06	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	 -4.8632283E+00	  3.9483295E+01	  5.1873267E-01	 -6.1717661E+03	 -1.1358340E+01	  1.3086584E+03	 -1.3230107E+02	  1.2761214E+00	  2.5288731E+02	  0.0000000E+00	  0.0000000E+00
    0.3000	  5.0105839E+00	  0.0000000E+00	  0.0000000E+00	  3.8249057E-04	  6.7247718E-04	 -3.7767101E-02	  8.6148717E-02	 -6.0756803E-03	  0.0000000E+00	  0.0000000E+00	 -1.3541298E-03	  1.2643457E-05	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	 -3.3022833E+00	  1.8623936E+01	 -1.5018286E+00	 -6.2339907E+03	  4.6763184E+01	  7.5097028E+02	 -2.3784021E+02	  8.0745697E+00	  2.8172360E+02	  0.0000000E+00	  0.0000000E+00
    0.4000	  4.9992828E+00	  0.0000000E+00	  0.0000000E+00	  3.5516982E-04	 -1.0311977E-04	 -5.2173253E-02	  1.4428161E-01	 -1.1348209E-02	  0.0000000E+00	  0.0000000E+00	 -2.4671082E-03	  3.6627491E-05	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  8.3437288E-01	  5.4932930E+01	 -5.4237390E-01	 -6.2783423E+03	  1.9089075E+01	  1.7490685E+03	 -3.9056915E+02	  9.7878761E+00	  3.1791223E+02	  0.0000000E+00	  0.0000000E+00
    0.5000	  4.9879818E+00	  0.0000000E+00	  0.0000000E+00	  1.0381887E-03	  2.2909341E-03	  5.9999596E-02	  1.8630442E-01	 -1.5199803E-02	  0.0000000E+00	  0.0000000E+00	 -4.2978064E-03	  7.2221068E-05	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  1.3066945E+01	  5.6594368E+01	 -1.7020631E-01	 -6.2839331E+03	 -1.8604520E-01	  1.6233804E+03	 -2.6839969E+02	  1.6351334E+01	  3.6067978E+02	  0.0000000E+00	  0.0000000E+00
    0.6000	  4.9766808E+00	  0.0000000E+00	  0.0000000E+00	  3.1145662E-03	  4.7956049E-03	  4.1356820E-01	  2.0106596E-01	 -1.5955480E-02	  0.0000000E+00	  0.0000000E+00	 -6.7893318E-03	  1.0528231E-04	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  2.3417006E+01	  1.2572016E+01	  1.4020349E-02	 -6.2494272E+03	 -1.6831717E+01	  7.2403389E+01	  2.4350567E+01	  9.4741154E+00	  4.1811963E+02	  0.0000000E+00	  0.0000000E+00
    0.7000	  4.9653797E+00	  0.0000000E+00	  0.0000000E+00	  6.9667925E-03	  8.3269048E-03	  8.4155345E-01	  1.9911923E-01	 -1.2301758E-02	  0.0000000E+00	  0.0000000E+00	 -9.3269348E-03	  1.2503238E-04	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  2.1904673E+01	  2.5062544E+01	  2.5843453E+00	 -6.1930820E+03	 -9.9502602E+01	  1.1130965E+02	  4.4375732E+02	 -3.5437565E+00	  4.8580917E+02	  0.0000000E+00	  0.0000000E+00
    0.8000	  4.9540787E+00	  0.0000000E+00	  0.0000000E+00	  1.2977359E-02	  1.1115993E-02	  1.2063043E+00	  1.8850839E-01	 -8.7301536E-03	  0.0000000E+00	  0.0000000E+00	 -1.1250689E-02	  1.0825472E-04	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  1.5814376E+01	  2.0369333E+01	  1.9672034E+00	 -6.1355039E+03	 -8.5019257E+01	 -2.8938074E+02	  7.5571698E+02	 -1.4010493E+01	  4.3779520E+02	  0.0000000E+00	  0.0000000E+00
