
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-v3.5.3) on 11-Dec-2024 at 14:34:37.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   16.233   16.233   16.236   -0.061    0.279    0.122   -0.061    0.279    0.034   -0.007   -0.017    0.048    0.019
   0.50   16.572   16.574   16.575    0.235    0.250    0.461    0.235    0.250    0.115    0.108    0.059    0.165    0.084
   1.00   16.609   16.609   16.618    0.088    0.551    0.498    0.088    0.551    0.275    0.044    0.049    0.280    0.141
   1.50   16.890   16.903   16.906   -0.653    0.327    0.779   -0.653    0.327    0.255   -0.509   -0.214    0.570    0.304
   2.00   16.778   16.797   16.801   -0.799    0.397    0.667   -0.799    0.397    0.265   -0.533   -0.317    0.621    0.337
   2.50   16.667   16.669   16.670   -0.207    0.234    0.556   -0.207    0.234    0.130   -0.115   -0.048    0.204    0.090
   3.00   16.470   16.471   16.472   -0.182    0.142    0.359   -0.182    0.142    0.051   -0.065   -0.026    0.091    0.043
   3.50   16.292   16.295   16.295   -0.302   -0.111    0.181   -0.302   -0.111   -0.020   -0.055    0.034    0.068    0.034
   4.00   16.492   16.520   16.521   -0.969   -0.124    0.381   -0.969   -0.124   -0.047   -0.369    0.120    0.550    0.195
   4.50   16.214   16.244   16.244   -0.984   -0.102    0.103   -0.984   -0.102   -0.010   -0.101    0.100    0.494    0.071
   5.00   15.886   15.927   15.927   -1.138    0.002   -0.225   -1.138    0.002   -0.001    0.256   -0.003    0.673    0.128
   5.50   16.084   16.091   16.092   -0.470   -0.204   -0.027   -0.470   -0.204    0.005    0.013    0.096    0.132    0.048
   6.00   16.332   16.338   16.341   -0.471   -0.298    0.221   -0.471   -0.298   -0.066   -0.104    0.140    0.180    0.093
   6.50   16.003   16.008   16.009   -0.377   -0.226   -0.108   -0.377   -0.226    0.024    0.041    0.085    0.102    0.049
   7.00   15.880   15.881   15.884   -0.179   -0.341   -0.232   -0.179   -0.341    0.079    0.041    0.061    0.101    0.054
   7.50   15.792   15.794   15.794   -0.204   -0.018   -0.319   -0.204   -0.018    0.006    0.065    0.004    0.072    0.033
   8.00   15.808   15.821   15.834   -0.627   -0.649   -0.303   -0.627   -0.649    0.196    0.190    0.407    0.453    0.245
   8.50   16.106   16.116   16.135   -0.556   -0.795   -0.005   -0.556   -0.795    0.004    0.003    0.442    0.470    0.221
