! OpenFAST Deterministic Wind File
#
# Comment lines begin with "!" or "#" or "%", then the data lines must contain the following columns:
#
# If there are only 8 columns, upflow is assumed to be 0.
#
# Parameters are interpolated linearly between time steps; using nearest neighbor before the first time 
# listed in this file and after the last time listed in the file. 
#
! Time     Wind    Wind    Vertical    Horiz.      Pwr.Law     Lin.Vert.   Gust     Upflow
!          Speed   Dir     Speed       Shear       Vert.Shr    Shear       Speed    Angle 
! (sec)    (m/s)   (Deg)   (m/s)                                            (m/s)   (deg)
0    4.794930667300912    0    0    0    0    0    0    0    
1    5.379350377738102    0    0    0    0    0    0    0    
2    5.071842513204999    0    0    0    0    0    0    0    
3    4.711391519746943    0    0    0    0    0    0    0    
4    4.987484222265189    0    0    0    0    0    0    0    
5    5.469154142304884    0    0    0    0    0    0    0    
6    5.164023225707709    0    0    0    0    0    0    0    
7    4.984871722826057    0    0    0    0    0    0    0    
8    4.86694217487485    0    0    0    0    0    0    0    
9    5.045534376516691    0    0    0    0    0    0    0    
10    5.035049917453555    0    0    0    0    0    0    0    
11    5.027789448091882    0    0    0    0    0    0    0    
12    5.479282571051706    0    0    0    0    0    0    0    
13    4.93293972803276    0    0    0    0    0    0    0    
14    4.8321355333282066    0    0    0    0    0    0    0    
15    5.003729785227824    0    0    0    0    0    0    0    
16    4.578339233492035    0    0    0    0    0    0    0    
17    4.943616845243609    0    0    0    0    0    0    0    
18    5.279648417892574    0    0    0    0    0    0    0    
19    4.467918693777841    0    0    0    0    0    0    0    
20    4.676871608071157    0    0    0    0    0    0    0    
21    5.036253656524612    0    0    0    0    0    0    0    
22    5.1868456381444235    0    0    0    0    0    0    0    
23    5.071589409146622    0    0    0    0    0    0    0    
24    5.011788132861511    0    0    0    0    0    0    0    
25    4.771954962309239    0    0    0    0    0    0    0    
26    5.270411432994882    0    0    0    0    0    0    0    
27    4.912970722727814    0    0    0    0    0    0    0    
28    5.2819426961954505    0    0    0    0    0    0    0    
29    4.919560213039836    0    0    0    0    0    0    0    
30    5.4944184475131    0    0    0    0    0    0    0    
31    4.752693905803554    0    0    0    0    0    0    0    
32    4.746484519231986    0    0    0    0    0    0    0    
33    5.21396985288417    0    0    0    0    0    0    0    
34    4.771101341041103    0    0    0    0    0    0    0    
35    4.683807933687338    0    0    0    0    0    0    0    
36    4.698809854972844    0    0    0    0    0    0    0    
37    5.174091370304396    0    0    0    0    0    0    0    
38    4.744496129323586    0    0    0    0    0    0    0    
39    5.072707424204519    0    0    0    0    0    0    0    
40    4.788493315998674    0    0    0    0    0    0    0    
41    4.638333800763372    0    0    0    0    0    0    0    
42    4.9346988384445085    0    0    0    0    0    0    0    
43    5.163139617218816    0    0    0    0    0    0    0    
44    5.170109075053103    0    0    0    0    0    0    0    
45    5.004876422264048    0    0    0    0    0    0    0    
46    4.537946109979703    0    0    0    0    0    0    0    
47    4.920017949684544    0    0    0    0    0    0    0    
48    5.086323597917315    0    0    0    0    0    0    0    
49    5.36186255648586    0    0    0    0    0    0    0    
50    4.71619676323328    0    0    0    0    0    0    0    
51    4.824165943631534    0    0    0    0    0    0    0    
52    5.111604186485071    0    0    0    0    0    0    0    
53    5.240386443463005    0    0    0    0    0    0    0    
54    4.836528086868533    0    0    0    0    0    0    0    
55    4.799379160337193    0    0    0    0    0    0    0    
56    4.722814380254369    0    0    0    0    0    0    0    
57    4.996197263938022    0    0    0    0    0    0    0    
58    4.894836269980118    0    0    0    0    0    0    0    
59    5.405905839636371    0    0    0    0    0    0    0    
60    4.8199722951045265    0    0    0    0    0    0    0    
61    5.141876650050008    0    0    0    0    0    0    0    
62    5.099213335949391    0    0    0    0    0    0    0    
63    5.3047531588028525    0    0    0    0    0    0    0    
64    5.08247629491128    0    0    0    0    0    0    0    
65    4.994886736041035    0    0    0    0    0    0    0    
66    4.930160268931362    0    0    0    0    0    0    0    
67    5.098823363318424    0    0    0    0    0    0    0    
68    4.761538372616524    0    0    0    0    0    0    0    
69    4.838198885011696    0    0    0    0    0    0    0    
70    5.239057602469666    0    0    0    0    0    0    0    
71    4.9440680639852985    0    0    0    0    0    0    0    
72    5.2866566612187045    0    0    0    0    0    0    0    
73    4.896189779885327    0    0    0    0    0    0    0    
74    5.096671535125786    0    0    0    0    0    0    0    
75    5.096526148703048    0    0    0    0    0    0    0    
76    4.820726212703356    0    0    0    0    0    0    0    
77    5.152626991205852    0    0    0    0    0    0    0    
78    5.250682997798151    0    0    0    0    0    0    0    
79    5.046501189768355    0    0    0    0    0    0    0    
80    4.522012420289533    0    0    0    0    0    0    0    
81    5.329933866796936    0    0    0    0    0    0    0    
82    4.8149754415578805    0    0    0    0    0    0    0    
83    5.108976225950143    0    0    0    0    0    0    0    
84    4.6815415868905434    0    0    0    0    0    0    0    
85    4.9889731870416485    0    0    0    0    0    0    0    
86    5.220895115561154    0    0    0    0    0    0    0    
87    5.0213683338157695    0    0    0    0    0    0    0    
88    4.805411159704406    0    0    0    0    0    0    0    
89    4.9242576713831525    0    0    0    0    0    0    0    
90    5.074025409700162    0    0    0    0    0    0    0    
91    5.284119428598688    0    0    0    0    0    0    0    
92    4.735034971135126    0    0    0    0    0    0    0    
93    4.871005947955751    0    0    0    0    0    0    0    
94    4.83371498167276    0    0    0    0    0    0    0    
95    5.180373454348116    0    0    0    0    0    0    0    
96    4.74486551696752    0    0    0    0    0    0    0    
97    4.76399320134059    0    0    0    0    0    0    0    
98    5.113688513373531    0    0    0    0    0    0    0    
99    4.516432722730427    0    0    0    0    0    0    0    
100    5.022000413329793    0    0    0    0    0    0    0    
101    5.165730861031271    0    0    0    0    0    0    0    
102    4.934006951180643    0    0    0    0    0    0    0    
103    4.876753224120261    0    0    0    0    0    0    0    
104    5.2532092668105985    0    0    0    0    0    0    0    
105    5.032693563163742    0    0    0    0    0    0    0    
106    4.7981251313548325    0    0    0    0    0    0    0    
107    4.8991577694401665    0    0    0    0    0    0    0    
108    5.098671674804156    0    0    0    0    0    0    0    
109    5.0568480202021275    0    0    0    0    0    0    0    
110    5.013529805171509    0    0    0    0    0    0    0    
111    4.738762616858314    0    0    0    0    0    0    0    
112    5.224248061861565    0    0    0    0    0    0    0    
113    5.270406850709809    0    0    0    0    0    0    0    
114    5.011871144671713    0    0    0    0    0    0    0    
115    5.013817150830108    0    0    0    0    0    0    0    
116    4.9291352446040335    0    0    0    0    0    0    0    
117    5.3594403710715195    0    0    0    0    0    0    0    
118    5.0285241395904094    0    0    0    0    0    0    0    
119    5.089089303033889    0    0    0    0    0    0    0    
120    4.824918176998684    0    0    0    0    0    0    0    
121    5.227675211212158    0    0    0    0    0    0    0    
122    4.8394038905709325    0    0    0    0    0    0    0    
123    5.222735317964686    0    0    0    0    0    0    0    
124    5.253737264428211    0    0    0    0    0    0    0    
125    5.4387332345545545    0    0    0    0    0    0    0    
126    4.7664098913878075    0    0    0    0    0    0    0    
127    4.973101638012833    0    0    0    0    0    0    0    
128    5.007992701603989    0    0    0    0    0    0    0    
129    5.228928158669979    0    0    0    0    0    0    0    
130    5.15259286719404    0    0    0    0    0    0    0    
131    5.408023749466287    0    0    0    0    0    0    0    
132    5.142463529704124    0    0    0    0    0    0    0    
133    5.154866195355671    0    0    0    0    0    0    0    
134    4.94421737072206    0    0    0    0    0    0    0    
135    4.830560928371858    0    0    0    0    0    0    0    
136    5.168997421485654    0    0    0    0    0    0    0    
137    4.942285315806078    0    0    0    0    0    0    0    
138    5.26570381206331    0    0    0    0    0    0    0    
139    5.082277787563105    0    0    0    0    0    0    0    
140    4.772554246983576    0    0    0    0    0    0    0    
141    5.023788910561531    0    0    0    0    0    0    0    
142    4.7561821225561225    0    0    0    0    0    0    0    
143    5.281854476453642    0    0    0    0    0    0    0    
144    4.714731240432242    0    0    0    0    0    0    0    
145    4.9449683732879235    0    0    0    0    0    0    0    
146    4.902997873305662    0    0    0    0    0    0    0    
147    4.687190669860108    0    0    0    0    0    0    0    
148    4.825925364710625    0    0    0    0    0    0    0    
149    5.061258543846261    0    0    0    0    0    0    0    
150    5.052317058262983    0    0    0    0    0    0    0    
151    5.563866275354145    0    0    0    0    0    0    0    
152    5.0021355221468635    0    0    0    0    0    0    0    
153    5.108049945971524    0    0    0    0    0    0    0    
154    4.697525192215968    0    0    0    0    0    0    0    
155    5.0174774497877035    0    0    0    0    0    0    0    
156    5.222090010862295    0    0    0    0    0    0    0    
157    4.821004990171747    0    0    0    0    0    0    0    
158    4.793512547214758    0    0    0    0    0    0    0    
159    5.300077242949814    0    0    0    0    0    0    0    
160    5.180839868773762    0    0    0    0    0    0    0    
161    4.985317775    0    0    0    0    0    0    0    
162    5.120169069037697    0    0    0    0    0    0    0    
163    5.112913785174371    0    0    0    0    0    0    0    
164    5.146552809513992    0    0    0    0    0    0    0    
165    5.317289323863112    0    0    0    0    0    0    0    
166    4.820191201608341    0    0    0    0    0    0    0    
167    4.809777500777634    0    0    0    0    0    0    0    
168    4.96743501441615    0    0    0    0    0    0    0    
169    4.96933059552414    0    0    0    0    0    0    0    
170    4.837782402471644    0    0    0    0    0    0    0    
171    5.309210951733932    0    0    0    0    0    0    0    
172    5.188793246285941    0    0    0    0    0    0    0    
173    5.0581358908329666    0    0    0    0    0    0    0    
174    4.912729183121856    0    0    0    0    0    0    0    
175    5.028659120202297    0    0    0    0    0    0    0    
176    5.2905157224069566    0    0    0    0    0    0    0    
177    5.125089404583108    0    0    0    0    0    0    0    
178    4.724118366022483    0    0    0    0    0    0    0    
179    4.769468712212108    0    0    0    0    0    0    0    
180    5.118004684189585    0    0    0    0    0    0    0    
181    5.038494649706144    0    0    0    0    0    0    0    
182    5.165437759496157    0    0    0    0    0    0    0    
183    4.995715062344595    0    0    0    0    0    0    0    
184    4.922378733002974    0    0    0    0    0    0    0    
185    5.024392610159101    0    0    0    0    0    0    0    
186    4.812915665630999    0    0    0    0    0    0    0    
187    5.030008578701835    0    0    0    0    0    0    0    
188    5.198148974450538    0    0    0    0    0    0    0    
189    5.096884013719788    0    0    0    0    0    0    0    
190    5.178145230275526    0    0    0    0    0    0    0    
191    4.991599838139457    0    0    0    0    0    0    0    
192    4.720629517688751    0    0    0    0    0    0    0    
193    5.204636931457113    0    0    0    0    0    0    0    
194    5.040103518067781    0    0    0    0    0    0    0    
195    4.842310773360999    0    0    0    0    0    0    0    
196    5.0279412094102325    0    0    0    0    0    0    0    
197    4.687900407414999    0    0    0    0    0    0    0    
198    5.417501340688955    0    0    0    0    0    0    0    
199    4.8433667464297345    0    0    0    0    0    0    0    
200    4.884409929416098    0    0    0    0    0    0    0    
