
Predictions were generated on 06-Dec-2024 at 11:57:33 using OpenFAST, compiled as a 64-bit application using single precision at commit v3.2.1
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: OpenFast Main File Tutorial 1

Time	Wind1VelX	Wind1VelY	Wind1VelZ	Azimuth	RotSpeed	GenSpeed	OoPDefl1	IPDefl1	TwstDefl1	BldPitch1	TTDspFA	TTDspSS	TTDspTwst	PtfmSurge	PtfmSway	PtfmHeave	PtfmRoll	PtfmPitch	PtfmYaw	RotTorq	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt	RootMxb1	RootMyb1	GenPwr	GenTq
(s)	(m/s)	(m/s)	(m/s)	(deg)	(rpm)	(rpm)	(m)	(m)	(deg)	(deg)	(m)	(m)	(deg)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kW)	(kN-m)
    0.0000	  4.7949305E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  1.1896771E-04	 -1.7842075E+01	  5.6396395E-02	 -6.0896377E+03	 -1.3643084E+00	 -4.0932224E+02	  1.9810706E-05	  4.4895139E+00	  6.1744541E+01	  0.0000000E+00	  0.0000000E+00
    0.1000	  4.8533726E+00	  0.0000000E+00	  0.0000000E+00	  3.2784906E-04	  8.4548973E-04	  3.5030600E-02	  8.7061767E-03	  8.6436636E-04	  0.0000000E+00	  0.0000000E+00	 -1.7379083E-04	  7.3620947E-07	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  4.5381689E+00	  2.3902225E+01	 -3.0031881E-01	 -6.1147300E+03	  9.3664646E+00	  7.9708923E+02	 -1.0541592E+02	 -1.4837403E+00	  1.5325203E+02	  0.0000000E+00	  0.0000000E+00
    0.2000	  4.9118142E+00	  0.0000000E+00	  0.0000000E+00	  1.9124529E-04	 -9.0269954E-04	  6.2669568E-02	  3.6174130E-02	 -7.8529195E-04	  0.0000000E+00	  0.0000000E+00	 -6.6681340E-04	  4.8203437E-06	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	 -4.7703252E+00	  3.9215164E+01	  4.5211324E-01	 -6.1716943E+03	 -9.5241156E+00	  1.2984413E+03	 -1.3262318E+02	  1.2845840E+00	  2.4796658E+02	  0.0000000E+00	  0.0000000E+00
    0.3000	  4.9702563E+00	  0.0000000E+00	  0.0000000E+00	  2.1856604E-04	  5.0474727E-04	 -4.8139766E-02	  8.4013373E-02	 -5.9118643E-03	  0.0000000E+00	  0.0000000E+00	 -1.4270542E-03	  1.3535599E-05	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	 -3.1947892E+00	  1.8631138E+01	 -1.3940654E+00	 -6.2339404E+03	  4.3597366E+01	  7.4397009E+02	 -2.3778322E+02	  8.0770664E+00	  2.7671884E+02	  0.0000000E+00	  0.0000000E+00
    0.4000	  5.0286984E+00	  0.0000000E+00	  0.0000000E+00	  1.0928302E-04	 -2.2435842E-04	 -6.4199015E-02	  1.4105301E-01	 -1.1108240E-02	  0.0000000E+00	  0.0000000E+00	 -2.5919024E-03	  3.7755461E-05	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  6.6577220E-01	  5.4685661E+01	 -6.0562706E-01	 -6.2783149E+03	  2.0799557E+01	  1.7290941E+03	 -3.9057861E+02	  9.6524010E+00	  3.1426157E+02	  0.0000000E+00	  0.0000000E+00
    0.5000	  5.0871401E+00	  0.0000000E+00	  0.0000000E+00	  6.8301888E-04	  2.1169591E-03	  4.4744805E-02	  1.8284969E-01	 -1.4881408E-02	  0.0000000E+00	  0.0000000E+00	 -4.4729896E-03	  7.3796808E-05	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  1.2848782E+01	  5.6356873E+01	 -1.9635549E-01	 -6.2839370E+03	  4.4185430E-01	  1.5981851E+03	 -2.6800955E+02	  1.6216335E+01	  3.5847632E+02	  0.0000000E+00	  0.0000000E+00
    0.6000	  5.1455822E+00	  0.0000000E+00	  0.0000000E+00	  2.6774341E-03	  4.6396065E-03	  3.9457038E-01	  1.9861664E-01	 -1.5667811E-02	  0.0000000E+00	  0.0000000E+00	 -7.0029381E-03	  1.0736778E-04	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  2.3322264E+01	  1.2626086E+01	  1.0193918E-01	 -6.2494575E+03	 -1.9519239E+01	  5.1228645E+01	  2.4681410E+01	  9.4282007E+00	  4.1694925E+02	  0.0000000E+00	  0.0000000E+00
    0.7000	  5.2040243E+00	  0.0000000E+00	  0.0000000E+00	  6.4203776E-03	  8.1537440E-03	  8.2358330E-01	  1.9862716E-01	 -1.2220287E-02	  0.0000000E+00	  0.0000000E+00	 -9.5612146E-03	  1.2727482E-04	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  2.2054056E+01	  2.4948023E+01	  2.4958117E+00	 -6.1931270E+03	 -9.7254913E+01	  8.2695091E+01	  4.4366959E+02	 -3.4605086E+00	  4.8670221E+02	  0.0000000E+00	  0.0000000E+00
    0.8000	  5.2624664E+00	  0.0000000E+00	  0.0000000E+00	  1.2376302E-02	  1.1087490E-02	  1.1940249E+00	  1.9052027E-01	 -8.8265035E-03	  0.0000000E+00	  0.0000000E+00	 -1.1479891E-02	  1.1057096E-04	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  1.6442715E+01	  2.0300964E+01	  2.0223010E+00	 -6.1356069E+03	 -8.6944054E+01	 -3.1660092E+02	  7.5546918E+02	 -1.3719690E+01	  4.4410956E+02	  0.0000000E+00	  0.0000000E+00
    0.9000	  5.3209081E+00	  0.0000000E+00	  0.0000000E+00	  1.9561661E-02	  1.3222917E-02	  1.3661312E+00	  1.7012936E-01	 -7.8806663E-03	  0.0000000E+00	  0.0000000E+00	 -1.2423192E-02	  5.0024151E-05	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  3.3659077E+00	 -2.0673660E+01	  1.7810503E+00	 -6.1017979E+03	 -7.0755417E+01	 -1.6449163E+03	  7.4393231E+02	 -2.1490089E+01	  3.1660406E+02	  0.0000000E+00	  0.0000000E+00
