! OpenFAST Deterministic Wind File
#
# Comment lines begin with "!" or "#" or "%", then the data lines must contain the following columns:
#
# If there are only 8 columns, upflow is assumed to be 0.
#
# Parameters are interpolated linearly between time steps; using nearest neighbor before the first time 
# listed in this file and after the last time listed in the file. 
#
! Time     Wind    Wind    Vertical    Horiz.      Pwr.Law     Lin.Vert.   Gust     Upflow
!          Speed   Dir     Speed       Shear       Vert.Shr    Shear       Speed    Angle 
! (sec)    (m/s)   (Deg)   (m/s)                                            (m/s)   (deg)
0    9.727809050900763    0    0    0    0    0    0    0    
1    9.724208706297949    0    0    0    0    0    0    0    
2    10.240306347599946    0    0    0    0    0    0    0    
3    10.140741126709946    0    0    0    0    0    0    0    
4    9.67598344076134    0    0    0    0    0    0    0    
5    9.920977832933811    0    0    0    0    0    0    0    
6    9.99872042488617    0    0    0    0    0    0    0    
7    10.023997435330463    0    0    0    0    0    0    0    
8    9.957377459741764    0    0    0    0    0    0    0    
9    10.300160151448482    0    0    0    0    0    0    0    
10    9.622820417712713    0    0    0    0    0    0    0    
11    10.147343384011034    0    0    0    0    0    0    0    
12    10.199869252102475    0    0    0    0    0    0    0    
13    9.889232152657925    0    0    0    0    0    0    0    
14    10.130562431563803    0    0    0    0    0    0    0    
15    9.981089159415534    0    0    0    0    0    0    0    
16    9.917865301172128    0    0    0    0    0    0    0    
17    9.899636733299186    0    0    0    0    0    0    0    
18    10.468913772977892    0    0    0    0    0    0    0    
19    10.096733457858132    0    0    0    0    0    0    0    
20    9.84882913082249    0    0    0    0    0    0    0    
21    9.617185131343225    0    0    0    0    0    0    0    
22    9.556310064248    0    0    0    0    0    0    0    
23    9.85131634516619    0    0    0    0    0    0    0    
24    10.083722095223932    0    0    0    0    0    0    0    
25    9.876036404384346    0    0    0    0    0    0    0    
26    10.227640184839476    0    0    0    0    0    0    0    
27    10.013402125521104    0    0    0    0    0    0    0    
28    9.715255322673325    0    0    0    0    0    0    0    
29    9.827814625251662    0    0    0    0    0    0    0    
30    10.087882355398175    0    0    0    0    0    0    0    
31    9.827118232333522    0    0    0    0    0    0    0    
32    9.964702032131976    0    0    0    0    0    0    0    
33    10.190465506088195    0    0    0    0    0    0    0    
34    9.92328744001898    0    0    0    0    0    0    0    
35    9.68296506469853    0    0    0    0    0    0    0    
36    9.969690280125329    0    0    0    0    0    0    0    
37    10.097758524521907    0    0    0    0    0    0    0    
38    10.025789338615532    0    0    0    0    0    0    0    
39    10.05720231152516    0    0    0    0    0    0    0    
40    9.817064042860391    0    0    0    0    0    0    0    
41    9.763613335537496    0    0    0    0    0    0    0    
42    10.325758503568618    0    0    0    0    0    0    0    
43    10.092873167983592    0    0    0    0    0    0    0    
44    9.93039898871044    0    0    0    0    0    0    0    
45    9.934292505974451    0    0    0    0    0    0    0    
46    10.193745387389784    0    0    0    0    0    0    0    
47    10.01373463630173    0    0    0    0    0    0    0    
48    9.994767446658892    0    0    0    0    0    0    0    
49    9.71215810375641    0    0    0    0    0    0    0    
