! OpenFAST Deterministic Wind File
#
# Comment lines begin with "!" or "#" or "%", then the data lines must contain the following columns:
#
# If there are only 8 columns, upflow is assumed to be 0.
#
# Parameters are interpolated linearly between time steps; using nearest neighbor before the first time 
# listed in this file and after the last time listed in the file. 
#
! Time     Wind    Wind    Vertical    Horiz.      Pwr.Law     Lin.Vert.   Gust     Upflow
!          Speed   Dir     Speed       Shear       Vert.Shr    Shear       Speed    Angle 
! (sec)    (m/s)   (Deg)   (m/s)                                            (m/s)   (deg)
0    6.797441648685663    0    0    0    0    0    0    0    
1    7.072327243448014    0    0    0    0    0    0    0    
2    7.134843146124198    0    0    0    0    0    0    0    
3    7.098422692763121    0    0    0    0    0    0    0    
4    6.861843698002169    0    0    0    0    0    0    0    
5    7.121829513433134    0    0    0    0    0    0    0    
6    6.906532951147587    0    0    0    0    0    0    0    
7    6.871003045021012    0    0    0    0    0    0    0    
8    7.083669625058576    0    0    0    0    0    0    0    
9    6.963264371610589    0    0    0    0    0    0    0    
10    6.899425328519764    0    0    0    0    0    0    0    
11    7.255460187472479    0    0    0    0    0    0    0    
12    6.935586558654735    0    0    0    0    0    0    0    
13    7.424044983567873    0    0    0    0    0    0    0    
14    7.2320870671711575    0    0    0    0    0    0    0    
15    6.8375645041503565    0    0    0    0    0    0    0    
16    6.775240405333891    0    0    0    0    0    0    0    
17    6.862187548259019    0    0    0    0    0    0    0    
18    6.929087279272436    0    0    0    0    0    0    0    
19    6.878602768736567    0    0    0    0    0    0    0    
20    7.283018711181069    0    0    0    0    0    0    0    
21    6.964786824273254    0    0    0    0    0    0    0    
22    6.988844177954412    0    0    0    0    0    0    0    
23    6.547585521643664    0    0    0    0    0    0    0    
24    7.103400340056995    0    0    0    0    0    0    0    
25    7.082448110691593    0    0    0    0    0    0    0    
26    7.182752804812136    0    0    0    0    0    0    0    
27    7.245039467280491    0    0    0    0    0    0    0    
28    7.3392929568849645    0    0    0    0    0    0    0    
29    7.100367044811125    0    0    0    0    0    0    0    
30    7.212702442876323    0    0    0    0    0    0    0    
31    7.0488601213358875    0    0    0    0    0    0    0    
32    7.272096370181904    0    0    0    0    0    0    0    
33    7.3586836588545665    0    0    0    0    0    0    0    
34    7.338362845168067    0    0    0    0    0    0    0    
35    6.724943611977924    0    0    0    0    0    0    0    
36    6.873468598566075    0    0    0    0    0    0    0    
37    7.134653438552334    0    0    0    0    0    0    0    
38    6.904828874107033    0    0    0    0    0    0    0    
39    6.663531129381137    0    0    0    0    0    0    0    
40    6.960045672974007    0    0    0    0    0    0    0    
41    6.968329566954837    0    0    0    0    0    0    0    
42    6.8271484082045575    0    0    0    0    0    0    0    
43    6.768228767138336    0    0    0    0    0    0    0    
44    6.969892698551839    0    0    0    0    0    0    0    
45    6.745894024223279    0    0    0    0    0    0    0    
46    6.864202097763832    0    0    0    0    0    0    0    
47    7.219858667475661    0    0    0    0    0    0    0    
48    6.921718180342448    0    0    0    0    0    0    0    
49    7.285171972799301    0    0    0    0    0    0    0    
50    6.962592021442062    0    0    0    0    0    0    0    
51    6.890138478749629    0    0    0    0    0    0    0    
52    7.016261737603222    0    0    0    0    0    0    0    
53    7.03645362373525    0    0    0    0    0    0    0    
54    7.149868676924346    0    0    0    0    0    0    0    
55    6.810002388978885    0    0    0    0    0    0    0    
56    7.006666533912074    0    0    0    0    0    0    0    
57    7.446742626425539    0    0    0    0    0    0    0    
58    7.33156759875761    0    0    0    0    0    0    0    
59    6.7853544347441765    0    0    0    0    0    0    0    
60    7.267922170967563    0    0    0    0    0    0    0    
61    7.062646663015576    0    0    0    0    0    0    0    
62    7.167165986898726    0    0    0    0    0    0    0    
63    6.816880177265917    0    0    0    0    0    0    0    
64    6.728386542992596    0    0    0    0    0    0    0    
65    7.12702542530874    0    0    0    0    0    0    0    
66    6.86853477588929    0    0    0    0    0    0    0    
67    6.920594203138769    0    0    0    0    0    0    0    
68    7.118306033902795    0    0    0    0    0    0    0    
69    6.971161106050091    0    0    0    0    0    0    0    
70    7.300525205535579    0    0    0    0    0    0    0    
71    6.883382845483229    0    0    0    0    0    0    0    
72    7.061822392774172    0    0    0    0    0    0    0    
73    7.177997808295128    0    0    0    0    0    0    0    
74    7.195999721565565    0    0    0    0    0    0    0    
75    7.028570656222311    0    0    0    0    0    0    0    
76    6.942300611619744    0    0    0    0    0    0    0    
77    7.307393835812072    0    0    0    0    0    0    0    
78    7.027060268406742    0    0    0    0    0    0    0    
79    6.730659050534144    0    0    0    0    0    0    0    
80    6.885795613596573    0    0    0    0    0    0    0    
81    6.938926032931622    0    0    0    0    0    0    0    
82    6.892468349490125    0    0    0    0    0    0    0    
83    7.337666621998889    0    0    0    0    0    0    0    
84    6.845427917013466    0    0    0    0    0    0    0    
85    7.198282166304083    0    0    0    0    0    0    0    
86    7.140621026145102    0    0    0    0    0    0    0    
