
Predictions were generated on 04-Dec-2024 at 11:47:44 using OpenFAST, compiled as a 64-bit application using single precision at commit v3.2.1
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: OpenFast Main File Tutorial 1

Time	Wind1VelX	Wind1VelY	Wind1VelZ	Azimuth	RotSpeed	GenSpeed	OoPDefl1	IPDefl1	TwstDefl1	BldPitch1	TTDspFA	TTDspSS	TTDspTwst	PtfmSurge	PtfmSway	PtfmHeave	PtfmRoll	PtfmPitch	PtfmYaw	RotTorq	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt	RootMxb1	RootMyb1	GenPwr	GenTq
(s)	(m/s)	(m/s)	(m/s)	(deg)	(rpm)	(rpm)	(m)	(m)	(deg)	(deg)	(m)	(m)	(deg)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kW)	(kN-m)
    0.0000	  5.2180533E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  1.1896771E-04	 -1.7842075E+01	  5.6396395E-02	 -6.0896377E+03	 -1.3643084E+00	 -4.0932224E+02	  1.9810706E-05	  4.4895139E+00	  6.1744541E+01	  0.0000000E+00	  0.0000000E+00
    0.1000	  5.1362252E+00	  0.0000000E+00	  0.0000000E+00	  4.3713208E-04	  1.0149423E-03	  4.7038898E-02	  9.1147013E-03	  9.8697434E-04	  0.0000000E+00	  0.0000000E+00	 -1.6040314E-04	  6.8115656E-07	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  5.7663736E+00	  2.4498531E+01	 -2.9518574E-01	 -6.1148184E+03	  8.9435959E+00	  8.1334113E+02	 -1.0505932E+02	 -1.1859640E+00	  1.5799062E+02	  0.0000000E+00	  0.0000000E+00
    0.2000	  5.0543976E+00	  0.0000000E+00	  0.0000000E+00	  3.5516982E-04	 -8.5053197E-04	  8.6423881E-02	  3.7778724E-02	 -8.1254746E-04	  0.0000000E+00	  0.0000000E+00	 -6.1398261E-04	  4.1820326E-06	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	 -5.0315313E+00	  3.9602985E+01	  5.6254864E-01	 -6.1718037E+03	 -1.2539621E+01	  1.3140485E+03	 -1.3210896E+02	  1.2463325E+00	  2.5573361E+02	  0.0000000E+00	  0.0000000E+00
    0.3000	  4.9725695E+00	  0.0000000E+00	  0.0000000E+00	  4.6445284E-04	  7.5687916E-04	 -3.3762705E-02	  8.7442406E-02	 -6.1975117E-03	  0.0000000E+00	  0.0000000E+00	 -1.3099520E-03	  1.2096447E-05	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	 -3.4791875E+00	  1.8513346E+01	 -1.5831767E+00	 -6.2340049E+03	  4.9163696E+01	  7.5265747E+02	 -2.3796515E+02	  8.0448790E+00	  2.8385992E+02	  0.0000000E+00	  0.0000000E+00
    0.4000	  4.8907413E+00	  0.0000000E+00	  0.0000000E+00	  4.9177359E-04	 -7.9325451E-05	 -4.9099188E-02	  1.4600885E-01	 -1.1504215E-02	  0.0000000E+00	  0.0000000E+00	 -2.3985759E-03	  3.6055168E-05	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  8.1754476E-01	  5.4970169E+01	 -4.9448270E-01	 -6.2783271E+03	  1.7799877E+01	  1.7579038E+03	 -3.9065698E+02	  9.8420029E+00	  3.1817487E+02	  0.0000000E+00	  0.0000000E+00
    0.5000	  4.8089132E+00	  0.0000000E+00	  0.0000000E+00	  1.1474717E-03	  2.3192845E-03	  6.2319856E-02	  1.8765712E-01	 -1.5377858E-02	  0.0000000E+00	  0.0000000E+00	 -4.2154412E-03	  7.1542301E-05	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  1.3025562E+01	  5.6550179E+01	 -1.5974024E-01	 -6.2838843E+03	 -4.0130830E-01	  1.6317007E+03	 -2.6874652E+02	  1.6378281E+01	  3.5894699E+02	  0.0000000E+00	  0.0000000E+00
    0.6000	  4.7270856E+00	  0.0000000E+00	  0.0000000E+00	  3.2511698E-03	  4.7645806E-03	  4.1419691E-01	  2.0103610E-01	 -1.6062099E-02	  0.0000000E+00	  0.0000000E+00	 -6.7130676E-03	  1.0456001E-04	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  2.3206844E+01	  1.2242986E+01	 -5.2081514E-02	 -6.2493506E+03	 -1.4834589E+01	  7.2407555E+01	  2.4189281E+01	  9.4044209E+00	  4.1456284E+02	  0.0000000E+00	  0.0000000E+00
    0.7000	  4.6452575E+00	  0.0000000E+00	  0.0000000E+00	  7.0760758E-03	  8.2497522E-03	  8.3564419E-01	  1.9698389E-01	 -1.2208873E-02	  0.0000000E+00	  0.0000000E+00	 -9.2822900E-03	  1.2461364E-04	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  2.1447844E+01	  2.4777468E+01	  2.6448784E+00	 -6.1929844E+03	 -1.0107819E+02	  1.0989908E+02	  4.4412863E+02	 -3.7357543E+00	  4.7947296E+02	  0.0000000E+00	  0.0000000E+00
    0.8000	  4.5634294E+00	  0.0000000E+00	  0.0000000E+00	  1.3004679E-02	  1.0862934E-02	  1.1892178E+00	  1.8389766E-01	 -8.4662531E-03	  0.0000000E+00	  0.0000000E+00	 -1.1270252E-02	  1.0826950E-04	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  1.4945500E+01	  1.9927370E+01	  1.9186933E+00	 -6.1353540E+03	 -8.3468513E+01	 -3.0132416E+02	  7.5641205E+02	 -1.4372617E+01	  4.2613235E+02	  0.0000000E+00	  0.0000000E+00
