! OpenFAST Deterministic Wind File
#
# Comment lines begin with "!" or "#" or "%", then the data lines must contain the following columns:
#
# If there are only 8 columns, upflow is assumed to be 0.
#
# Parameters are interpolated linearly between time steps; using nearest neighbor before the first time 
# listed in this file and after the last time listed in the file. 
#
! Time     Wind    Wind    Vertical    Horiz.      Pwr.Law     Lin.Vert.   Gust     Upflow
!          Speed   Dir     Speed       Shear       Vert.Shr    Shear       Speed    Angle 
! (sec)    (m/s)   (Deg)   (m/s)                                            (m/s)   (deg)
0    5.04448705487292    0    0    0    0    0    0    0    
1    4.931476401326132    0    0    0    0    0    0    0    
2    4.913228453317922    0    0    0    0    0    0    0    
3    4.850060038004926    0    0    0    0    0    0    0    
4    5.173719677007405    0    0    0    0    0    0    0    
5    4.935193258513018    0    0    0    0    0    0    0    
6    5.2823463524048515    0    0    0    0    0    0    0    
7    5.00650356704675    0    0    0    0    0    0    0    
8    4.961355221786915    0    0    0    0    0    0    0    
9    4.781667023846798    0    0    0    0    0    0    0    
10    5.058991996988031    0    0    0    0    0    0    0    
11    5.160612646522476    0    0    0    0    0    0    0    
12    5.082781443758454    0    0    0    0    0    0    0    
13    4.977576862417188    0    0    0    0    0    0    0    
14    5.077180351184737    0    0    0    0    0    0    0    
15    4.9202601164012165    0    0    0    0    0    0    0    
16    4.914293714553617    0    0    0    0    0    0    0    
17    5.128439643980509    0    0    0    0    0    0    0    
18    4.949646539478526    0    0    0    0    0    0    0    
19    5.009126364803897    0    0    0    0    0    0    0    
20    4.899991335509906    0    0    0    0    0    0    0    
21    4.7285375785327215    0    0    0    0    0    0    0    
22    5.396978584314829    0    0    0    0    0    0    0    
23    5.144180985806578    0    0    0    0    0    0    0    
24    4.85506166082286    0    0    0    0    0    0    0    
25    4.664971011897857    0    0    0    0    0    0    0    
26    4.744838840728383    0    0    0    0    0    0    0    
27    4.892663618050958    0    0    0    0    0    0    0    
28    4.959876437452272    0    0    0    0    0    0    0    
29    5.345216351867283    0    0    0    0    0    0    0    
30    5.052628877446215    0    0    0    0    0    0    0    
31    5.264615243990683    0    0    0    0    0    0    0    
32    4.947074690754378    0    0    0    0    0    0    0    
33    5.075266408988247    0    0    0    0    0    0    0    
34    4.98833515119516    0    0    0    0    0    0    0    
35    5.4909451901321615    0    0    0    0    0    0    0    
